player,team,position,salary
"Otto, Glenn",Padres,RHP,747000
"Outman, James",Dodgers,OF,770000
"Oviedo, Johan",Pirates,RHP,765000
"Ozuna, Marcell",Braves,DH,18000000
"Pache, Cristian",Phillies,OF,760500
"Paddack, Chris",Twins,RHP,2525000
"Pagan, Emilio",Reds,RHP,8000000
"Palacios, Richie",Rays,OF,745200
"Pallante, Andre",Cardinals,RHP,756900
"Paredes, Isaac",Rays,3B,3400000
"Parsons, Wes",Blue Jays,RHP,749600
"Pasquantino, Vinnie",Royals,1B,752750
"Patino, Luis",Padres,RHP,749400
"Pauley, Graham",Padres,3B,740000
"Paxton, James",Dodgers,LHP,7000000
"Payamps, Joel",Brewers,RHP,1650000
"Pearson, Nate",Blue Jays,RHP,800000
"Pederson, Joc",Diamondbacks,OF,9500000
"Peguero, Elvis",Brewers,RHP,754300
"Pena, Jeremy",Astros,SS,783500
"Pepiot, Ryan",Rays,RHP,744900
"Peralta, Freddy",Brewers,RHP,5734960
"Peralta, Wandy",Padres,LHP,3350000
"Peraza, Oswald",Yankees,SS,766600
"Perdomo, Angel",Braves,LHP,740000
"Perdomo, Geraldo",Diamondbacks,SS,786000
"Perez, Cionel",Orioles,LHP,1200000
"Perez, Eury",Marlins,RHP,748000
"Perez, Martin",Pirates,LHP,8000000
"Perez, Salvador",Royals,C,20000000
"Perkins, Blake",Brewers,OF,800000
"Peterson, David",Mets,LHP,2150000
"Peterson, Jace",Diamondbacks,INF,5000000
"Pfaadt, Brandon",Diamondbacks,RHP,754400
"Phillips, Evan",Dodgers,RHP,4000000
"Pillar, Kevin",White Sox,OF,1000000
"Pinto, Rene",Rays,C,745100
"Pivetta, Nick",Red Sox,RHP,7500000
"Poche, Colin",Rays,LHP,2375000
"Polanco, Jorge",Mariners,2B,10500000
"Pressly, Ryan",Astros,RHP,14000000
"Profar, Jurickson",Padres,OF,1000000
"Puk, A.J.",Marlins,LHP,1800000
"Quantrill, Cal",Rockies,RHP,6550000
"Quijada, Jose",Angels,LHP,840000
"Quintana, Jose",Mets,LHP,13000000
"Rafaela, Ceddanne",Red Sox,OF,743500
"Ragans, Cole",Royals,LHP,753750
"Rainey, Tanner",Nationals,RHP,1500000
"Raleigh, Cal",Mariners,C,795000
"Raley, Brooks",Mets,LHP,6500000
"Raley, Luke",Mariners,1B,754200
"Ramirez, Harold",Rays,OF,3800000
"Ramirez, Jose",Guardians,3B,17000000
"Ramirez, Yohan",Mets,RHP,768750
"Rasmussen, Drew",Rays,RHP,1862500
"Ray, Robbie",Giants,LHP,23000000
"Rea, Colin",Brewers,RHP,3500000
"Realmuto, JT",Phillies,C,23875000
"Refsnyder, Rob",Red Sox,OF,1850000
"Reid-Foley, Sean",Mets,RHP,772750
"Rendon, Anthony",Angels,3B,38571429
"Renfroe, Hunter",Royals,OF,5500000
"Rengifo, Luis",Angels,2B,4400000
"Reyes, Pablo",Red Sox,INF,764000
"Reynolds, Bryan",Pirates,OF,10250000
"Richards, Trevor",Blue Jays,RHP,2150000
"Riley, Austin",Braves,3B,21000000
"Rizzo, Anthony",Yankees,1B,17000000
"Robert Jr., Luis",White Sox,OF,12500000
"Robertson, David",Rangers,RHP,8283253
"Robles, Victor",Nationals,OF,2650000
"Rocchio, Brayan",Guardians,SS,740200
"Rodgers, Brendan",Rockies,2B,3200000
"Rodon, Carlos",Yankees,LHP,27833333
"Rodriguez, Eduardo",Diamondbacks,LHP,14000000
"Rodriguez, Endy",Pirates,C,745000
"Rodriguez, Grayson",Orioles,RHP,748300
"Rodriguez, Joely",Red Sox,LHP,2000000
"Rodriguez, Julio",Mariners,OF,12185714
"Rodriguez, Yerry",Rangers,RHP,743000
"Rogers, Jake",Tigers,C,1700000
"Rogers, Taylor",Giants,LHP,12000000
"Rogers, Trevor",Marlins,LHP,1530000
"Rogers, Tyler",Giants,RHP,3200000
"Rojas, Johan",Phillies,OF,745000
"Rojas, Josh",Mariners,3B,3100000
"Rojas, Miguel",Dodgers,SS,5750000
"Rom, Drew",Cardinals,LHP,742200
"Romano, Jordan",Blue Jays,RHP,7750000
"Romero, JoJo",Cardinals,LHP,860000
"Rooker, Brent",Athletics,OF,750000
"Rortvedt, Ben",Rays,C,755400
"Rosario, Amed",Rays,INF,1500000
"Rosario, Eddie",Nationals,OF,4000000
"Rosario, Eguy",Padres,INF,744400
"Ross, Joe",Brewers,RHP,1500000
"Roupp, Landen",Giants,RHP,740000
"Rucker, Michael",Phillies,RHP,751500
"Ruiz, Esteury",Athletics,OF,745000
"Ruiz, Keibert",Nationals,C,6375000
"Rutschman, Adley",Orioles,C,760300
"Ryan, Joe",Twins,RHP,758850
"Ryan, Ryder",Pirates,RHP,830000
"Sale, Chris",Braves,LHP,16000000
"Sanchez, Cristopher",Phillies,LHP,753500
"Sanchez, Gary",Brewers,C,3000000
"Sanchez, Jesus",Marlins,OF,2100000
"Sanchez, Sixto",Marlins,RHP,742000
"Sandlin, Nick",Guardians,RHP,1075000
"Sandoval, Patrick",Angels,LHP,5025000
"Sands, Cole",Twins,RHP,749450
"Sano, Miguel",Angels,3B,875000
"Santana, Carlos",Twins,1B,5250000
"Santander, Anthony",Orioles,OF,11700000
"Santos, Gregory",Mariners,RHP,750000
"Saucedo, Tayler",Mariners,LHP,753100
"Sauer, Matt",Royals,RHP,740000
"Sborz, Josh",Rangers,RHP,1025000
"Schanuel, Nolan",Angels,1B,750000
"Scherzer, Max",Rangers,RHP,43333334
"Schmidt, Clarke",Yankees,RHP,2025000
"Schneider, Davis",Blue Jays,INF,744900
"Scholtens, Jesse",White Sox,RHP,747250
"Schreiber, John",Royals,RHP,1175000
"Schwarber, Kyle",Phillies,DH,20000000
"Scott II, Victor",Cardinals,OF,740000
"Scott, Tanner",Marlins,LHP,5700000
"Scott, Tayler",Astros,RHP,790000
"Seager, Corey",Rangers,SS,35000000
"Sears, J.P.",Athletics,LHP,745000
"Semien, Marcus",Rangers,2B,26000000
"Senga, Kodai",Mets,RHP,15666667
"Senzatela, Antonio",Rockies,RHP,12000000
"Senzel, Nick",Nationals,3B,2000000
"Serven, Brian",Blue Jays,C,751000
"Severino, Luis",Mets,RHP,13000000
"Sewald, Paul",Diamondbacks,RHP,7350000
"Shaw, Bryan",White Sox,RHP,800000
"Sheehan, Emmet",Dodgers,RHP,750000
"Sheets, Gavin",White Sox,INF,756950
"Shenton, Austin",Rays,3B,740000
"Shewmake, Braden",White Sox,SS,740350
"Short, Zack",Mets,INF,747300
"Siani, Mike",Cardinals,OF,741650
"Silseth, Chase",Angels,RHP,750000
"Simpson, Josh",Marlins,LHP,740500
"Sims, Lucas",Reds,RHP,2850000
"Singer, Brady",Royals,RHP,4850000
"Singleton, Jonathan",Astros,1B,850000
"Siri, Jose",Rays,OF,757800
"Skubal, Tarik",Tigers,LHP,2650000
"Slaten, Justin",Red Sox,RHP,740000
"Slater, Austin",Giants,OF,4000000
"Small, Ethan",Giants,LHP,741300
"Smith, Burch",Marlins,RHP,1000000
"Smith, Cade",Guardians,RHP,740000
"Smith, Drew",Mets,RHP,2225000
"Smith, Josh",Rangers,INF,749500
"Smith, Will",Dodgers,C,13550000
"Smith, Will",Royals,LHP,5000000
"Smyly, Drew",Cubs,LHP,10500000
"Snell, Blake",Giants,LHP,32000000
"Snider, Collin",Mariners,RHP,747300
"Soler, Jorge",Giants,DH,10000000
"Soriano, George",Marlins,RHP,746000
"Soriano, Jose",Angels,RHP,760000
"Soroka, Michael",White Sox,RHP,3000000
"Sosa, Edmundo",Phillies,INF,1700000
"Soto, Gregory",Phillies,LHP,5000000
"Soto, Juan",Yankees,OF,31000000
"Sousa, Bennett",Astros,LHP,742300
"Speier, Gabe",Mariners,LHP,753300
"Spence, Mitch",Athletics,RHP,740000
"Springer, George",Blue Jays,OF,24166667
"Springs, Jeffrey",Rays,LHP,5250000
"Stallings, Jacob",Rockies,C,1500000
"Stanek, Ryne",Mariners,RHP,4000000
"Stanton, Giancarlo",Yankees,DH,32000000
"Stassi, Max",White Sox,C,7000000
"Staumont, Josh",Twins,RHP,950000
"Steele, Justin",Cubs,LHP,4000000
"Steer, Spencer",Reds,OF,750000
"Stefanic, Michael",Angels,INF,750000
"Stephan, Trevor",Guardians,RHP,1600000
"Stephenson, Robert",Angels,RHP,11000000
"Stephenson, Tyler",Reds,C,2525000
"Stewart, Brock",Twins,RHP,900000
"Stewart, DJ",Mets,OF,1380000
"Stone, Gavin",Dodgers,RHP,742500
"Story, Trevor",Red Sox,SS,22500000
"Stott, Bryson",Phillies,2B,768000
"Strahm, Matt",Phillies,LHP,7500000
"Strasburg, Stephen",Nationals,RHP,32811200
"Stratton, Chris",Royals,RHP,3500000
"Stratton, Hunter",Pirates,RHP,800000
"Strider, Spencer",Braves,RHP,1000000
"Stripling, Ross",Athletics,RHP,12500000
"Stroman, Marcus",Yankees,RHP,18500000
"Stubbs, Garrett",Phillies,C,850000
"Suarez, Eugenio",Diamondbacks,3B,11000000
"Suarez, Jose",Angels,LHP,925000
"Suarez, Ranger",Phillies,LHP,5050000
"Suarez, Robert",Padres,RHP,10000000
"Suter, Brent",Reds,LHP,2500000
"Suwinski, Jack",Pirates,OF,755000
"Suzuki, Seiya",Cubs,OF,21000000
"Swanson, Dansby",Cubs,SS,26000000
"Swanson, Erik",Blue Jays,RHP,2750000
"Taillon, Jameson",Cubs,RHP,18000000
"Tarnok, Freddy",Athletics,RHP,745000
"Tate, Dillon",Orioles,RHP,1500000
"Tatis Jr., Fernando",Padres,OF,11714286
"Tauchman, Michael",Cubs,OF,1950000
"Taveras, Leody",Rangers,OF,2550000
"Taylor, Chris",Dodgers,OF,13000000
"Taylor, Josh",Royals,LHP,1100000
"Taylor, Michael A.",Pirates,OF,4000000
"Taylor, Tyrone",Mets,OF,2025000
"Tellez, Rowdy",Pirates,1B,3200000
"Thaiss, Matt",Angels,C,770000
"Thielbar, Caleb",Twins,LHP,3225000
"Thomas, Alek",Diamondbacks,OF,769500
"Thomas, Lane",Nationals,OF,5450000
"Thompson, Bubba",Reds,OF,742500
"Thompson, Mason",Nationals,RHP,749200
"Thompson, Ryan",Diamondbacks,RHP,1350000
"Thompson, Zack",Cardinals,LHP,750850
"Thornton, Trent",Mariners,RHP,1200000
"Toglia, Michael",Rockies,1B,742000
"Tonkin, Michael",Mets,RHP,1000000
"Topa, Justin",Twins,RHP,1225000
"Torkelson, Spencer",Tigers,1B,765700
"Toro, Abraham",Athletics,INF,1275000
"Torres, Gleyber",Yankees,2B,14200000
"Tovar, Ezequiel",Rockies,SS,1500000
"Treinen, Blake",Dodgers,RHP,1000000
"Trejo, Alan",Rockies,2B,745000
"Trevino, Jose",Yankees,C,2730000
"Triolo, Jared",Pirates,2B,745000
"Trivino, Lou",Yankees,RHP,1500000
"Trout, Mike",Angels,OF,37116667
"Tucker, Kyle",Astros,OF,12000000
"Turang, Brice",Brewers,2B,748200
"Turnbull, Spencer",Phillies,RHP,2000000
"Turner, Justin",Blue Jays,DH,13000000
"Turner, Trea",Phillies,SS,27272727
"Urena, Jose",Rangers,RHP,1750000
"Urias, Luis",Mariners,2B,5000000
"Urias, Ramon",Orioles,3B,2100000
"Uribe, Abner",Brewers,RHP,747400
"Urquidy, Jose",Astros,RHP,3750000
"Urshela, Gio",Tigers,3B,1500000
"Valdez, Enmanuel",Red Sox,2B,743500
"Valdez, Framber",Astros,LHP,12100000
"Vargas, Ildemaro",Nationals,INF,1100000
"Varland, Louie",Twins,RHP,745400
"Varsho, Daulton",Blue Jays,OF,5650000
"Vaughn, Andrew",White Sox,1B,3250000
"Vazquez, Christian",Twins,C,10000000
"Velazquez, Nelson",Royals,OF,747000
"Verdugo, Alex",Yankees,OF,8700000
"Verlander, Justin",Astros,RHP,43333333
"Vesia, Alex",Dodgers,LHP,1000000
"Vespi, Nick",Orioles,LHP,742700
"Vest, Will",Tigers,RHP,760700
"Vieira, Thyago",Brewers,RHP,777500
"Vierling, Matt",Tigers,OF,766000
"Vodnik, Victor",Rockies,RHP,742000
"Vogelbach, Daniel",Blue Jays,DH,2000000
"Volpe, Anthony",Yankees,SS,810100
"Voth, Austin",Mariners,RHP,1250000
"Wacha, Michael",Royals,RHP,16000000
"Wade, LaMonte",Giants,1B,3500000
"Wade, Tyler",Padres,3B,850000
"Waguespack, Jacob",Rays,RHP,1200000
"Waldichuk, Ken",Athletics,LHP,745000
"Waldron, Matt",Padres,RHP,741800
"Walker, Christian",Diamondbacks,1B,10900000
"Walker, Jordan",Cardinals,OF,747450
"Walker, Ryan",Giants,RHP,747500
"Walker, Taijuan",Phillies,RHP,18000000
"Wall, Forrest",Braves,OF,750000
"Wallner, Matt",Twins,OF,745550
"Walls, Taylor",Rays,INF,757300
"Walsh, Jared",Rangers,1B,1250000
"Ward, Taylor",Angels,OF,4800000
"Warren, Austin",Giants,RHP,755000
"Weathers, Ryan",Marlins,LHP,752600
"Weaver, Luke",Yankees,RHP,2000000
"Webb, Jacob",Orioles,RHP,1000000
"Webb, Logan",Giants,RHP,8000000
"Weems, Jordan",Nationals,RHP,773500
"Weiss, Zack",Twins,RHP,744550
"Weissert, Greg",Red Sox,RHP,743500
"Wells, Austin",Yankees,C,750000
"Wells, Tyler",Orioles,RHP,1962500
"Wendle, Joey",Mets,INF,2000000
"Wentz, Joey",Tigers,LHP,746700
"Westburg, Jordan",Orioles,2B,745800
"Wheeler, Zack",Phillies,RHP,23500000
"White, Mitch",Blue Jays,RHP,766400
"Whitlock, Garrett",Red Sox,RHP,3500000
"Wicks, Jordan",Cubs,LHP,741500
"Williams, Alika",Pirates,INF,745000
"Williams, Devin",Brewers,RHP,7000000
"Williams, Gavin",Guardians,RHP,742100
"Williams, Trevor",Nationals,RHP,7000000
"Williamson, Brandon",Reds,LHP,742500
"Wilson, Bryse",Brewers,RHP,1025000
"Wilson, Justin",Reds,LHP,1500000
"Wilson, Steven",White Sox,RHP,751900
"Winckowski, Josh",Red Sox,RHP,760000
"Winder, Josh",Twins,RHP,751850
"Winker, Jesse",Nationals,OF,2000000
"Winn, Keaton",Giants,RHP,743750
"Winn, Masyn",Cardinals,SS,742250
"Wisdom, Patrick",Cubs,OF,2725000
"Witt Jr., Bobby",Royals,SS,3111111
"Wong, Connor",Red Sox,C,760000
"Woo, Bryan",Mariners,RHP,749000
"Wood, Alex",Athletics,LHP,8500000
"Woodruff, Brandon",Brewers,RHP,2500000
"Wright, Kyle",Royals,RHP,1800000
"Yamamoto, Yoshinobu",Dodgers,RHP,9166667
"Yarbrough, Ryan",Dodgers,LHP,3900000
"Yastrzemski, Mike",Giants,OF,7900000
"Yates, Kirby",Rangers,RHP,4500000
"Yelich, Christian",Brewers,OF,24170234
"Yoshida, Masataka",Red Sox,OF,18600000
"Young, Alex",Reds,LHP,1160000
"Zavala, Seby",Mariners,C,756700
"Zerpa, Angel",Royals,LHP,748250
"Zuniga, Guillermo",Angels,RHP,750000
